Date,Open,High,Low,Close,Volume,Adj Close
2015-11-12,331.65,331.65,331.65,331.65,000,330.348
2015-11-11,331.65,331.65,331.65,331.65,000,330.348
2015-11-10,332.65,335.70,327.55,331.65,2182700,330.348
2015-11-09,334.05,338.60,320.75,335.25,3272200,333.934
2015-11-06,333.00,342.15,317.10,339.20,3040000,337.868
2015-11-05,343.35,346.00,334.10,336.55,3125100,335.229
2015-11-04,349.00,350.30,343.20,346.40,2174200,345.04
2015-11-03,351.05,353.80,345.90,347.65,1505900,346.285
2015-11-02,347.50,351.70,343.65,350.15,2574900,348.775
2015-10-30,353.00,360.90,344.55,349.05,3594600,347.68
2015-10-29,356.50,358.95,349.00,355.40,4110500,354.005
2015-10-28,352.30,359.75,351.00,358.30,3430900,356.893
2015-10-27,351.45,354.70,348.10,352.65,2573200,351.266
2015-10-26,365.00,365.25,346.85,352.20,6627300,350.817
2015-10-23,374.00,374.70,356.50,359.10,4012600,357.69
2015-10-22,371.50,371.50,371.50,371.50,000,370.042
2015-10-21,364.05,373.80,363.90,371.50,3996800,370.042
2015-10-20,362.85,367.00,359.50,361.85,2332500,360.43
2015-10-19,353.00,365.65,346.00,363.70,3906100,362.272
2015-10-16,347.20,352.45,341.00,349.65,4144100,348.277
2015-10-15,348.00,353.40,344.00,351.25,4969700,349.871
2015-10-14,347.45,350.15,341.90,346.30,3121900,344.941
2015-10-13,351.10,351.70,342.85,345.45,2334300,344.094
2015-10-12,348.00,352.10,347.60,349.50,2200300,348.128
2015-10-09,344.00,348.90,343.25,347.60,5000200,346.236
2015-10-08,343.50,345.70,336.95,341.55,4299200,340.209
2015-10-07,348.85,348.95,340.35,342.65,3276600,341.305
2015-10-06,349.00,350.60,345.60,348.85,4155500,347.481
2015-10-05,341.90,347.45,339.25,346.25,5380300,344.891
2015-10-02,339.45,339.45,339.45,339.45,000,338.118
2015-10-01,339.40,340.45,335.60,339.45,4590800,338.118
2015-09-30,330.00,338.75,325.00,337.85,6535700,336.524
2015-09-29,325.00,326.80,315.60,322.65,6422600,321.383
2015-09-28,332.10,335.40,323.40,327.60,4772400,326.314
2015-09-25,332.95,332.95,332.95,332.95,000,331.643
2015-09-24,337.90,338.60,332.05,332.95,8983200,331.643
2015-09-23,340.00,343.00,336.25,337.90,3684100,336.574
2015-09-22,355.00,355.00,340.30,343.80,4108300,342.45
2015-09-21,354.00,359.00,351.40,352.30,2516900,350.917
2015-09-18,360.05,362.95,353.20,356.90,6113500,355.499
2015-09-17,359.50,359.50,359.50,359.50,000,358.089
2015-09-16,351.50,362.10,351.50,359.50,2680500,358.089
2015-09-15,354.00,354.00,349.00,351.00,2128100,349.622
2015-09-14,349.90,355.00,346.15,354.15,2533400,352.76
2015-09-11,351.80,353.95,346.30,348.70,3023200,347.331
2015-09-10,352.50,352.50,346.00,350.45,3025600,349.074
2015-09-09,350.00,365.70,348.00,354.50,5744800,353.108
2015-09-08,349.00,349.45,339.20,347.75,2784200,346.385
2015-09-07,349.90,349.90,343.10,347.10,2612100,345.737
2015-09-04,345.00,352.65,342.25,350.00,4781500,348.626
2015-09-03,343.25,347.95,343.25,346.75,3312800,345.389
2015-09-02,348.00,349.80,339.75,343.25,6335800,341.903
2015-09-01,351.00,354.60,343.15,345.40,4019100,344.044
2015-08-31,365.00,366.00,350.00,354.30,7544300,352.909
2015-08-28,356.90,364.85,351.50,362.50,6139600,361.077
2015-08-27,347.50,351.10,342.40,347.30,7701400,345.937
2015-08-26,350.00,350.90,336.50,339.20,6868100,337.868
2015-08-25,350.55,367.50,332.50,348.35,7956200,346.983
2015-08-24,357.25,366.65,337.95,348.30,6690100,346.933
2015-08-21,373.90,373.90,358.50,369.55,5941100,368.099
2015-08-20,390.00,392.00,373.40,380.00,3997000,378.508
2015-08-19,386.00,386.40,372.90,382.55,3975200,381.048
2015-08-18,394.10,395.70,384.25,385.55,1763000,384.037
2015-08-17,396.00,398.65,386.25,390.20,1480700,388.668
2015-08-14,390.00,396.80,383.30,395.10,3255700,393.549
2015-08-13,405.00,414.75,377.15,384.80,7094100,383.289
2015-08-12,404.00,405.70,391.30,398.70,3745400,394.924
2015-08-11,411.00,412.00,402.75,404.85,2893300,401.015
2015-08-10,412.70,415.45,408.50,410.20,2683000,406.315
2015-08-07,416.00,417.00,410.10,411.60,3736200,407.701
2015-08-06,419.95,422.00,414.00,415.00,3624100,411.069
2015-08-05,426.00,427.70,415.75,417.55,5522500,413.595
2015-08-04,422.80,426.00,409.20,413.25,4611600,409.336
2015-08-03,420.00,423.00,417.45,418.90,1394000,414.932
2015-07-31,418.75,426.15,414.00,418.80,2904600,414.833
2015-07-30,417.65,425.95,412.60,416.95,3286600,413.001
2015-07-29,411.00,419.95,404.10,417.65,3456100,413.694
2015-07-28,419.00,425.00,409.10,410.00,3186300,406.117
2015-07-27,432.00,433.80,416.50,417.95,2312400,413.991
2015-07-24,433.45,438.90,430.15,433.90,1943500,429.79
2015-07-23,441.00,441.15,430.80,432.90,2361200,428.80
2015-07-22,442.50,448.75,437.85,439.40,2816700,435.238
2015-07-21,440.00,452.45,433.90,445.25,6000200,441.033
2015-07-20,425.10,432.50,425.10,429.45,2043000,425.382
2015-07-17,425.00,430.00,422.15,425.85,3097000,421.816
2015-07-16,425.40,426.40,419.40,424.65,2115900,420.628
2015-07-15,422.00,426.80,420.55,422.95,2151500,418.944
2015-07-14,423.70,425.50,421.00,422.30,1381100,418.30
2015-07-13,422.00,426.90,419.55,423.70,2497500,419.687
2015-07-10,436.00,436.00,417.65,419.30,5160500,415.328
2015-07-09,432.35,442.90,430.30,433.90,5622200,429.79
2015-07-08,428.90,433.00,423.20,430.30,2783200,426.224
2015-07-07,433.00,436.10,430.65,431.85,1181600,427.76
2015-07-06,430.50,438.20,429.75,433.10,2008900,428.998
2015-07-03,433.95,437.80,432.50,435.10,3583100,430.979
2015-07-02,428.00,438.15,425.50,433.15,4484400,429.047
2015-07-01,423.70,428.45,420.30,424.45,2831800,420.43
2015-06-30,417.55,422.00,414.00,420.05,4699400,416.071
2015-06-29,413.05,416.00,406.00,413.90,2879100,409.98
2015-06-26,426.40,428.45,417.25,417.95,2364500,413.991
2015-06-25,425.50,429.50,422.50,426.70,3941800,422.658
2015-06-24,429.00,431.40,423.35,424.95,2581400,420.925
2015-06-23,428.95,434.20,428.30,430.30,5237700,426.224
2015-06-22,434.90,436.00,423.50,424.50,3727300,420.479
2015-06-19,426.50,437.30,426.50,434.00,3377300,429.889
2015-06-18,418.10,433.45,413.90,426.45,6193800,422.411
2015-06-17,415.60,424.50,414.75,422.30,4384300,418.30
2015-06-16,413.05,415.30,409.15,414.30,3862100,410.376
2015-06-15,417.80,418.40,411.60,413.65,2347600,409.732
2015-06-12,411.10,421.35,407.55,414.80,2279400,410.871
2015-06-11,417.10,417.70,409.10,410.55,3095200,406.661
2015-06-10,409.80,418.55,408.10,415.05,3421200,411.119
2015-06-09,412.00,412.00,402.85,407.95,2715700,404.086
2015-06-08,417.35,417.90,408.05,410.55,2846900,406.661
2015-06-05,417.00,422.35,413.80,415.60,4981500,411.664
2015-06-04,420.50,424.40,414.00,416.40,3272300,412.456
2015-06-03,418.15,423.00,409.20,420.70,3654500,416.715
2015-06-02,420.35,424.50,412.75,418.10,4289100,414.14
2015-06-01,415.95,420.95,410.20,416.60,4260400,412.654
2015-05-29,402.75,435.00,402.30,425.60,67772600,421.569
2015-05-28,412.00,412.75,399.95,403.00,7227100,399.183
2015-05-27,400.15,413.10,400.15,408.75,5060900,404.878
2015-05-26,402.00,406.95,398.20,400.55,6289200,396.756
2015-05-25,394.90,409.00,392.30,399.90,5388600,396.112
2015-05-22,395.50,398.70,390.65,394.90,3235100,391.16
2015-05-21,401.00,402.70,393.50,396.45,2549700,392.695
2015-05-20,397.25,403.85,396.85,400.55,5088200,396.756
2015-05-19,398.90,405.00,395.10,398.00,5446000,394.23
2015-05-18,394.00,399.80,392.00,397.45,4385900,393.685
2015-05-15,388.00,395.00,387.00,392.00,3895700,388.287
2015-05-14,382.00,392.20,380.90,386.00,4943200,382.344
2015-05-13,396.00,400.00,380.70,382.55,5804500,378.927
2015-05-12,396.50,399.35,388.95,391.55,6246200,387.841
2015-05-11,397.00,402.75,394.70,396.20,4325600,392.447
2015-05-08,397.00,400.00,394.10,397.95,5742500,394.181
2015-05-07,389.90,400.50,385.35,393.65,7914800,389.921
2015-05-06,393.30,405.00,386.00,390.20,13587700,386.504
2015-05-05,392.00,392.00,382.50,387.05,2442900,383.384
2015-05-04,373.60,394.10,373.60,392.90,4528800,389.179
2015-05-01,381.10,381.10,381.10,381.10,000,377.49
2015-04-30,387.45,388.00,371.80,381.10,8223400,377.49
2015-04-29,394.00,402.50,383.90,387.35,11248400,383.681
2015-04-28,389.00,409.50,383.40,400.75,5188500,396.954
2015-04-27,398.95,403.70,384.15,391.00,15164300,387.297
2015-04-24,400.00,403.20,394.95,399.15,7402500,395.369
2015-04-23,401.80,402.90,397.00,399.85,5744900,396.063
2015-04-22,397.00,401.30,391.20,399.40,4199400,395.617
2015-04-21,397.65,409.95,394.00,398.30,3889600,394.527
2015-04-20,403.80,407.60,398.75,402.30,3282800,398.489
2015-04-17,419.95,424.70,403.90,405.95,5556500,402.105
2015-04-16,416.15,422.95,414.45,418.00,3091000,414.041
2015-04-15,425.00,425.00,409.15,415.15,3500200,411.218
2015-04-14,425.70,425.70,425.70,425.70,000,421.668
2015-04-13,409.10,427.00,408.00,425.70,3882500,421.668
2015-04-10,407.00,413.90,401.50,411.95,4599400,408.048
2015-04-09,419.20,420.50,405.25,407.20,4665100,403.343
2015-04-08,407.00,422.85,407.00,419.15,5761500,415.18
2015-04-07,402.00,410.00,396.20,404.75,4228500,400.916
2015-04-06,402.30,409.10,398.45,400.80,4348700,397.004
2015-04-03,402.30,402.30,402.30,402.30,000,398.489
2015-04-02,402.30,402.30,402.30,402.30,000,398.489
2015-04-01,393.30,404.85,393.05,402.30,5494800,398.489
2015-03-31,389.05,395.70,385.00,393.30,6047300,389.575
2015-03-30,380.00,392.90,377.60,389.40,4656400,385.712
2015-03-27,401.00,404.50,371.10,376.50,8433300,372.934
2015-03-26,390.00,403.50,390.00,399.65,11406800,395.865
2015-03-25,387.00,397.45,386.95,395.00,10251400,391.259
2015-03-24,381.80,396.50,381.60,393.85,7301900,390.12
2015-03-23,384.00,389.90,378.00,383.25,3196600,379.62
2015-03-20,381.00,387.80,377.60,380.25,6540000,376.648
2015-03-19,383.00,384.95,379.75,381.95,4178300,378.332
2015-03-18,385.90,390.30,381.50,382.25,4305500,378.629
2015-03-17,392.20,392.40,379.00,386.55,11859200,382.889
2015-03-16,399.90,399.90,386.20,388.40,14064900,384.721
2015-03-13,398.95,402.70,389.40,400.25,11404400,396.459
2015-03-12,389.45,399.90,387.05,397.80,16593600,394.032
2015-03-11,370.00,394.00,362.25,389.55,12904800,385.86
2015-03-10,342.05,382.30,340.75,367.95,11622800,364.465
2015-03-09,346.75,346.75,339.10,343.45,3446200,340.197
2015-03-06,347.90,347.90,347.90,347.90,000,344.605
2015-03-05,351.40,351.90,344.05,347.90,3496100,344.605
2015-03-04,352.00,358.40,349.30,351.25,3329700,347.923
2015-03-03,350.00,350.60,343.70,349.25,2067000,345.942
2015-03-02,356.30,363.00,345.50,349.05,4163600,345.744
2015-02-27,349.00,358.10,347.35,355.20,3344600,351.836
2015-02-26,350.00,352.60,346.25,349.35,4120400,346.041
2015-02-25,346.90,350.50,344.65,348.60,2598000,345.298
2015-02-24,346.10,349.85,340.10,342.05,6661100,338.81
2015-02-23,348.00,350.90,345.20,347.30,2172700,344.01
2015-02-20,355.00,358.80,348.25,349.35,3670000,346.041
2015-02-19,354.95,358.40,350.20,356.70,2755300,353.321
2015-02-18,363.05,363.55,350.50,352.00,3072100,348.666
2015-02-17,361.35,361.35,361.35,361.35,000,357.927
2015-02-16,353.00,365.45,352.00,361.35,2123200,357.927
2015-02-13,353.80,356.50,349.30,355.00,3044200,351.638
2015-02-12,359.00,359.85,349.30,352.70,3931200,349.359
2015-02-11,356.95,360.65,348.00,356.10,3144800,352.727
2015-02-10,355.30,361.80,353.00,356.15,6171100,352.777
2015-02-09,365.00,365.70,353.25,356.10,2731000,352.727
2015-02-06,364.90,370.00,359.00,368.25,2991200,364.762
2015-02-05,370.00,371.90,360.05,364.70,7443700,361.246
2015-02-04,375.00,377.30,365.00,368.95,4988400,365.455
2015-02-03,360.15,374.00,360.10,371.55,3823400,368.031
2015-02-02,370.00,373.35,356.50,359.30,3746700,355.897
2015-01-30,380.80,380.80,366.15,373.70,4875000,370.16
2015-01-29,374.80,380.50,363.05,375.80,6797400,372.24
2015-01-28,393.70,395.70,371.60,373.60,4047100,370.061
2015-01-27,382.70,395.00,381.60,394.20,4748300,390.466
2015-01-26,384.10,384.10,384.10,384.10,000,380.462
2015-01-23,372.95,387.75,372.00,384.10,5650300,380.462
2015-01-22,373.35,373.95,361.15,370.00,2255700,366.495
2015-01-21,355.00,370.00,354.50,369.00,4553800,365.505
2015-01-20,350.45,357.00,348.05,354.90,2605500,351.538
2015-01-19,343.90,352.30,341.90,350.45,3050800,347.131
2015-01-16,347.00,352.00,339.10,342.85,8813500,339.603
2015-01-15,346.10,352.60,343.30,349.35,4475600,346.041
2015-01-14,346.95,348.20,344.65,345.80,3077900,342.525
2015-01-13,349.90,352.30,344.30,346.30,1445700,343.02
2015-01-12,355.70,355.70,347.10,348.95,2052100,345.645
2015-01-09,362.50,364.90,353.95,355.80,3453400,352.43
2015-01-08,356.55,362.95,353.15,361.15,6395800,357.729
2015-01-07,351.95,358.00,350.50,355.00,4415500,351.638
2015-01-06,356.10,356.10,348.40,354.15,3530100,350.796
2015-01-05,366.25,366.25,355.60,356.95,1446700,353.569
2015-01-02,363.80,367.00,362.00,365.05,2519800,361.592
2015-01-01,354.40,364.90,351.65,362.90,2217200,359.463
2014-12-31,349.80,353.50,349.80,352.70,2183600,349.359
2014-12-30,353.40,354.00,347.10,349.75,1023300,346.437
2014-12-29,353.00,359.45,350.00,351.20,1209900,347.874
2014-12-26,356.00,356.70,349.45,354.30,1158200,350.944
2014-12-25,353.10,353.10,353.10,353.10,000,349.756
2014-12-24,357.40,357.40,350.50,353.10,5499200,349.756
2014-12-23,350.00,356.50,349.05,355.20,4616400,351.836
2014-12-22,344.95,349.65,344.00,348.80,3084700,345.496
2014-12-19,348.55,348.85,335.80,343.10,5042100,339.85
2014-12-18,344.15,349.20,343.55,348.20,4860000,344.902
2014-12-17,345.10,349.45,340.10,342.05,5479400,338.81
2014-12-16,347.00,351.75,341.00,350.05,3402700,346.734
2014-12-15,344.50,351.45,341.00,349.95,3400000,346.635
2014-12-12,345.05,351.25,345.05,347.95,3889000,344.654
2014-12-11,352.70,357.50,342.00,343.30,4516500,340.048
2014-12-10,360.00,361.65,348.65,353.30,5255700,349.954
2014-12-09,366.20,372.25,352.60,354.15,5885600,350.796
2014-12-08,367.00,374.90,366.50,369.75,3842100,366.248
2014-12-05,373.00,375.75,365.05,367.80,4345500,364.316
2014-12-04,380.00,382.60,368.10,369.90,5287200,366.396
2014-12-03,387.00,387.35,377.00,378.40,6746500,374.816
2014-12-02,377.65,385.80,377.15,384.35,3314600,380.71
2014-12-01,384.75,385.50,376.10,377.80,2862800,374.222
2014-11-28,386.00,390.30,379.15,382.30,5459500,378.679
2014-11-27,394.20,394.20,383.40,385.40,4778900,381.75
2014-11-26,402.40,403.20,391.55,393.35,3751100,389.624
2014-11-25,405.90,407.80,398.50,403.60,5803900,399.777
2014-11-24,401.00,404.20,396.10,399.45,2569100,395.667
2014-11-21,398.40,402.30,394.75,401.55,2871700,397.747
2014-11-20,402.50,404.85,393.05,397.75,2968800,393.983
2014-11-19,401.20,407.80,395.35,401.75,5714700,397.945
2014-11-18,394.00,404.40,391.00,399.50,7502300,395.716
2014-11-17,387.80,395.00,385.20,393.20,2082300,389.476
2014-11-14,387.55,394.30,387.00,388.35,2589200,384.672
2014-11-13,389.25,391.95,376.00,390.90,4637900,387.197
2014-11-12,384.35,389.05,383.50,387.30,2813900,383.632
2014-11-11,392.10,393.40,382.95,385.00,4153100,381.353
2014-11-10,392.00,395.20,385.90,391.25,3359000,387.544
2014-11-07,386.40,392.15,379.00,390.85,7472200,387.148
2014-11-06,384.55,384.55,384.55,384.55,000,380.908
2014-11-05,399.00,399.30,382.55,384.55,10701300,380.908
2014-11-04,395.75,395.75,395.75,395.75,000,392.002
2014-11-03,401.45,403.85,393.50,395.75,5172500,392.002
2014-10-31,412.20,414.00,396.10,398.90,15235700,395.122
2014-10-30,405.60,410.00,401.45,407.50,5752400,403.64
2014-10-29,411.00,411.50,403.30,405.10,2318000,401.263
2014-10-28,415.00,415.00,400.15,407.70,3071800,403.838
2014-10-27,411.10,416.85,411.05,414.55,2483600,410.623
2014-10-24,409.45,409.45,409.45,409.45,000,405.572
2014-10-23,409.45,409.45,409.45,409.45,000,405.572
2014-10-22,413.90,415.00,407.20,409.45,2572900,405.572
2014-10-21,403.90,415.00,403.70,410.65,4093600,406.76
2014-10-20,400.00,403.35,398.35,401.70,3290100,397.895
2014-10-17,390.00,400.00,390.00,395.95,4579100,392.20
2014-10-16,398.40,402.25,384.10,388.15,3873600,384.474
2014-10-15,398.40,398.40,398.40,398.40,000,394.626
2014-10-14,392.60,400.30,392.60,398.40,2446900,394.626
2014-10-13,391.70,393.55,380.00,391.55,4218100,387.841
2014-10-10,400.85,402.00,390.50,392.30,2656300,388.584
2014-10-09,399.10,407.95,399.10,404.95,2861000,401.114
2014-10-08,400.00,406.50,397.10,399.70,6020200,395.914
2014-10-07,400.00,405.55,400.00,403.40,4891800,399.579
2014-10-06,403.20,403.20,403.20,403.20,000,399.381
2014-10-03,403.20,403.20,403.20,403.20,000,399.381
2014-10-02,403.20,403.20,403.20,403.20,000,399.381
2014-10-01,404.00,407.40,401.70,403.20,4183900,399.381
2014-09-30,403.25,408.95,401.00,405.20,3738600,401.362
2014-09-29,403.85,406.90,399.60,403.25,2194900,399.431
2014-09-26,405.00,408.75,401.55,405.05,3621300,401.213
2014-09-25,403.20,418.00,399.35,406.25,5762500,402.402
2014-09-24,405.10,408.50,395.20,403.15,3131200,399.331
2014-09-23,415.00,415.15,405.45,406.50,1967000,402.65
2014-09-22,414.50,418.10,409.40,415.15,2150800,411.218
2014-09-19,415.50,420.00,409.15,414.95,3481200,411.02
2014-09-18,413.95,419.00,411.35,415.90,3283500,411.961
2014-09-17,416.00,418.30,412.05,414.35,3945700,410.425
2014-09-16,411.50,417.55,409.45,412.30,3913300,408.395
2014-09-15,410.55,414.50,408.15,411.55,3262000,407.652
2014-09-12,406.95,415.60,406.20,414.00,4162700,410.079
2014-09-11,407.75,413.75,402.10,406.05,7064800,402.204
2014-09-10,406.95,411.80,403.65,407.75,4638800,403.888
2014-09-09,399.80,410.95,399.70,406.10,3554000,402.254
2014-09-08,404.30,407.50,401.55,403.75,3216700,399.926
2014-09-05,405.55,407.70,395.50,401.10,2753500,397.301
2014-09-04,405.90,407.95,398.30,404.50,6055900,400.669
2014-09-03,390.40,408.90,390.40,404.50,12312100,400.669
2014-09-02,378.60,394.50,375.85,391.60,5981500,387.891
2014-09-01,370.00,378.00,369.85,375.80,3107500,372.24
2014-08-29,369.80,369.80,369.80,369.80,000,366.297
2014-08-28,368.15,373.20,368.15,369.80,4315100,366.297
2014-08-27,369.50,373.60,365.55,369.00,3129900,365.505
2014-08-26,368.30,375.70,365.15,369.60,2540600,366.099
2014-08-25,366.90,370.40,365.00,369.10,2706900,365.604
2014-08-22,370.05,372.40,364.30,365.10,2814600,361.642
2014-08-21,372.60,375.00,368.40,371.10,2307800,367.585
2014-08-20,380.50,385.95,373.55,374.55,4358500,367.605
2014-08-19,375.35,384.20,375.35,377.15,4986500,370.157
2014-08-18,364.90,376.50,363.00,376.30,2650600,369.322
2014-08-15,365.20,365.20,365.20,365.20,000,358.428
2014-08-14,367.95,369.95,363.20,365.20,2780400,358.428
2014-08-13,371.80,378.00,365.70,368.60,4585800,361.765
2014-08-12,379.50,379.50,368.80,369.95,3387100,363.09
2014-08-11,376.95,380.00,372.40,376.45,4166900,369.47
2014-08-08,363.85,375.35,361.25,374.00,5395900,367.065
2014-08-07,367.00,370.95,363.25,365.80,7103800,359.017
2014-08-06,375.00,377.40,365.35,367.65,5248900,360.833
2014-08-05,379.65,380.20,373.50,374.75,3093700,367.801
